aback, NN
licked, VBN
lid, JJ
lid, NN
lids, NNS
lie, NN
lie, VB
lie, VBP
lie, VBZ
lies, NNS
lies, VBZ
liest, JJS
lieu, NN
lieutenant, NN
lieutenants, NNS
life, JJ
life, NN
lifeless, JJ
lifetime, NN
lift, NN
lift, VB
lift, VBP
lifted, JJ
lifted, VBD
lifted, VBN
lifting, JJ
lifting, VBG
lifts, NNS
lifts, VBZ
ligature, NN
light, JJ
light, NN
light, VB
light, VBD
lighted, VBD
lighted, VBN
lighten, VB
lightens, VBZ
lighter, JJR
lighter, NN
lighter, VBP
lightest, JJS
lighthouse, NN
lighting, VBG
lightness, NN
lightning, NN
lightning, VBG
lightnings, NNS
lightnings, VB
lights, NNS
lights, VBZ
like, JJ
like, VB
like, VBP
liked, VBD
likely, JJ
liken, VBP
likened, VBD
likened, VBN
likeness, NN
likenesses, NNS
likes, NNS
likes, VBZ
likewise, NN
likewise, VB
likewise, VBN
likewise, VBZ
limb, NN
limber, JJ
limber, NN
limbered, JJ
limbs, NN
limbs, NNS
limeese, JJ
limestone, NN
limit, NN
limitations, NNS
limitless, NN
limits, NNS
limped, VBD
limpid, JJ
limping, NN
limping, VBG
line, NN
linear, JJ
lined, VBN
linen, JJ
linen, NN
lines, NNS
lingered, VBD
lingered, VBN
lingering, JJ
lingering, NN
lingering, VBG
lingers, VBZ
lingo, NN
lining, NN
link, JJ
link, NN
linked, JJ
linked, VBN
links, NNS
lins, VBZ
lint, NN
lion, NN
lip, NN
lipless, NN
lips, NNS
lips, VBZ
liquid, JJ
liquid, NN
liquor, NN
lirra, NN
list, NN
listen, VB
listen, VBP
listen, VBZ
listened, VBD
listener, NN
listening, JJ
listening, VBG
listlessness, NN
lists, NNS
lit, NN
lit, VBD
lit, VBN
literal, JJ
literature, NN
lithe, NN
litigated, VBN
litter, NN
little, JJ
liturgies, NNS
liv, JJ
live, JJ
live, NN
live, VB
live, VBP
lived, VBD
lived, VBN
livelihood, NN
liveliness, NN
livelong, JJ
livelong, NN
lively, JJ
liver, NN
livers, NNS
lives, NNS
lives, VBZ
livid, JJ
livid, NN
living, JJ
living, NN
living, VBG
lizard, NN
ll, JJ
ll, NN
ll, NNS
ll, VBZ
lo, JJ
lo, NN
lo, VB
load, NN
loaded, JJ
loaded, VBD
loaded, VBN
loading, NN
loading, VBG
loads, NNS
loadstone, NN
loam, NN
loan, NN
loath, NN
loathed, VBN
loathsome, JJ
lobes, NNS
lobtailing, VBG
local, JJ
locality, NN
localness, NN
lock, NN
lock, VB
locked, JJ
locked, VBD
locked, VBN
locker, NN
lockers, NNS
locking, VBG
locks, NNS
locksmith, NN
lodge, VB
lodged, VBN
lodges, VBZ
lodgings, NNS
loftiest, JJS
lofty, JJ
lofty, NN
log, NN
loggerhead, JJ
loggerhead, NN
loggerheads, NNS
logs, NNS
loins, NNS
loitering, VBG
loiters, NNS
lone, NN
loneliness, NN
lonely, JJ
lonesomeness, NN
long, JJ
long, NN
long, VB
longed, VBD
longer, JJR
longest, JJS
longevity, NN
longing, NN
longing, VBG
longings, NNS
longitude, NN
longitudes, NNS
look, NN
look, VB
look, VBP
looked, VBD
looked, VBN
looker, NN
lookest, JJS
looking, VBG
lookouts, NNS
looks, NNS
looks, VBZ
loom, NN
loomed, VBD
loomed, VBN
looming, VBG
loomings, NNS
loon, NN
loop, NN
looped, VBD
loose, JJ
loose, NN
loose, VB
loosed, VBD
loosened, JJ
loosening, VBG
lord, JJ
lord, NN
lord, VB
lord, VBN
lording, VBG
lordly, JJ
lords, NNS
lords, VBZ
lose, VB
lose, VBP
loses, VBZ
losing, NN
losing, VBG
loss, NN
lost, JJ
lost, NN
lost, VBD
lost, VBN
lot, NN
lotion, NN
lotions, NNS
lots, NNS
lotus, NN
loud, JJ
loud, NN
louder, NN
lounge, VB
lounged, VBD
lounged, VBN
lounges, VBZ
lounging, JJ
lounging, VBG
love, NN
love, VB
love, VBP
loved, VBD
loveliest, JJS
loveliness, NN
lovely, JJ
lover, VBZ
lovers, NNS
loves, VBZ
loving, JJ
loving, NN
loving, VBG
lovings, NNS
low, JJ
low, NN
lower, JJR
lower, VB
lowered, JJ
lowered, VBD
lowered, VBN
lowering, JJ
lowering, NN
lowering, VBG
lowerings, NNS
lowermost, JJS
lowermost, NN
lowers, NNS
lowest, JJS
lowly, JJ
loyal, JJ
lt, NNS
lubber, NN
lucifers, NNS
luck, NN
luckless, NN
lucky, JJ
luff, NN
luff, VBD
luffs, VBZ
lug, VB
luggage, NN
luggers, NNS
lull, NN
lullaby, NN
lulled, VBD
lulls, VBZ
lumber, NN
lumbered, VBD
lump, NN
lumps, NNS
lunacy, NN
lunar, NN
lunatic, JJ
lung, NN
lunges, VBZ
lunging, JJ
lunging, VBG
lungless, JJ
lungs, NNS
lurches, NNS
lurching, VBG
lure, VB
lurid, JJ
lurk, NN
lurk, VB
lurked, VBD
lurked, VBN
lurking, NN
lurking, VBG
lurks, NNS
lurks, VBZ
lustre, NN
lustrous, JJ
lusty, VBP
luxuriant, JJ
luxurious, JJ
lye, JJ
lye, NN
lying, JJ
lying, VBG
m, JJ
m, NN
m, NNS
m, VB
ma, NN
macassar, JJ
maccaroni, NN
mace, NN
machine, NN
machinery, NN
machines, NNS
mackerel, NN
mad, JJ
mad, NN
mad, VB
madden, VB
maddened, VBD
maddened, VBN
maddening, VBG
maddens, NNS
made, NN
made, VBD
made, VBN
made, VBP
madest, JJS
madly, JJ
madman, NN
madness, JJ
madness, NN
madness, VB
maelstrom, NN
magazine, NN
maggots, NNS
magian, JJ
magic, JJ
magic, NN
magical, JJ
magician, JJ
magistrate, NN
magnanimity, NN
magnanimous, JJ
magnet, NN
magnetic, JJ
magnetism, NN
magnetizing, NN
magnets, NNS
magnets, VBZ
magnification, NN
magnificence, NN
magnificent, JJ
magnified, JJ
magnify, VB
magnifying, JJ
magnifying, VBG
magniloquent, JJ
magnitude, NN
magnitude, VB
mahogany, JJ
mahogany, NN
maid, NN
maidens, NNS
mail, NN
mails, NNS
maim, NN
maimed, JJ
maiming, VBG
main, JJ
mainmast, JJ
mainmast, NN
mainmast, VB
maintain, VB
maintain, VBP
maintained, VBD
maintained, VBN
maintaining, VBG
maintains, VBZ
mainyard, NN
majestic, JJ
majestical, JJ
majesty, JJ
majesty, NN
majority, NN
make, NN
make, VB
make, VBP
makes, VBZ
makest, JJS
maketh, VBZ
making, VBG
malady, JJ
malady, NN
male, JJ
male, NN
maledictions, NNS
malefactors, NNS
males, NNS
malice, NN
malicious, JJ
malignant, JJ
malignant, NN
malignity, NN
mallet, NN
maltreated, VBN
mammiferous, JJ
mammis, NN
man, NN
manage, VB
managed, VBN
management, NN
managers, NNS
managing, VBG
mandible, NN
mane, NN
maned, VBD
manes, NNS
mangles, NNS
mangrove, JJ
manhandle, VB
manhandle, VBZ
manhood, NN
manifest, JJS
manifestation, NN
manifested, VBD
manifested, VBN
manifesto, NN
manifold, JJ
manikin, NN
manipulated, VBD
manipulated, VBN
manipulator, NN
mankind, NN
mankind, VB
manliest, JJS
manliness, NN
manmaker, NN
manned, JJ
manned, VBD
manned, VBN
manner, NN
mannerly, JJ
manners, NNS
mansion, NN
mantle, NN
manufactured, JJ
manufactured, VBN
manufacturer, NN
manufacturing, NN
many, JJ
many, VB
map, NN
map, NNS
maple, NN
mapped, VBN
marble, JJ
marble, NN
marbled, VBD
marbleized, VBN
marbles, NNS
march, NN
march, VB
marchant, JJ
marchant, NN
marched, VBD
marched, VBN
marches, NNS
marches, VBZ
marching, VBG
marchings, NNS
marge, NN
margin, NN
marine, NN
mariner, NN
mariners, NNS
marines, NNS
maritime, JJ
maritime, NN
mark, NN
mark, VB
mark, VBP
mark, VBZ
marked, JJ
marked, VBD
marked, VBN
markest, JJS
market, NN
marketless, NN
marking, VBG
marks, NNS
marksmen, NNS
marl, NN
marline, NN
marlingspike, NN
marlinspikes, NNS
marquee, NN
marred, VBD
marred, VBN
marriage, NN
married, VBD
married, VBN
marring, VBG
marrow, NN
marry, VBP
marsh, NN
marshal, JJ
marshal, NN
marshal, VB
marshalled, VBD
marshalled, VBN
marshals, NNS
marshy, JJ
martial, JJ
martyr, NN
marvel, VB
marvelled, VBD
marvelled, VBN
marvelling, VBG
marvellous, JJ
marvels, NNS
masculine, NN
mask, NN
masked, VBD
masks, NNS
masoned, VBD
masoned, VBN
masonry, NN
mass, NN
massacre, NN
masses, NNS
massive, JJ
mast, JJ
mast, NN
master, NN
master, VB
mastering, VBG
masterless, JJ
masterless, NN
masterly, JJ
masters, NNS
mastership, NN
mastery, NN
mastheads, NNS
mastications, NNS
mastodons, NNS
masts, NNS
masts, VBZ
mat, NN
mat, VB
match, NN
match, VB
match, VBP
matched, VBN
matches, NNS
mate, NN
mate, VB
material, JJ
material, NN
materials, NNS
maternal, JJ
mates, NNS
mates, VBZ
mathematical, JJ
mathematics, NNS
matrimonial, JJ
matted, JJ
matted, VBN
matter, NN
matter, VB
matters, NNS
matters, VBZ
mattrass, NN
mattress, NN
mature, NN
matured, VBN
maty, NN
maul, NN
maw, NN
maxim, NN
mayest, NN
mayhap, NN
mayst, NN
maze, NN
mazes, NNS
maziness, NN
mazy, JJ
meadow, NN
meadows, NNS
meads, NNS
meagre, NN
meal, NN
meals, NNS
mealtimes, NNS
mealy, JJ
mean, JJ
mean, NN
mean, VB
mean, VBP
meanest, JJS
meaning, JJ
meaning, NN
meaning, VBG
meanings, NNS
means, NN
means, NNS
means, VBZ
meant, NN
meant, VBD
meant, VBN
meant, VBP
meantime, NN
meantime, VB
meanwhile, NN
measure, NN
measure, VB
measured, VBD
measured, VBN
measureless, JJ
measureless, NN
measurement, NN
measurer, NN
measures, NNS
measures, VBZ
measuring, VBG
meat, NN
mechanical, JJ
mechanical, NN
medal, NN
medallions, NNS
medals, NNS
meddle, VB
meddling, VBG
medicament, NN
medicine, NN
mediocrity, NN
meditation, NN
meditations, NNS
meditative, JJ
meditative, NN
meditativeness, NN
medium, NN
mediums, NNS
meet, NN
meet, VB
meet, VBP
meet, VBZ
meeting, NN
meeting, VBG
meetings, NNS
meets, NNS
meets, VBZ
melancholy, JJ
melancholy, NN
melodious, JJ
melt, VB
melted, JJ
melted, VBD
melted, VBN
melting, NN
melting, VBG
member, NN
membrane, NN
membranes, NNS
memoirs, NN
memoirs, NNS
memorable, JJ
memories, NNS
memory, NN
men, NN
men, NNS
menace, VBP
menaced, VBD
menacing, VBG
mend, VB
mend, VBP
mended, VBN
mending, VBG
menial, NN
mention, NN
mention, VB
mention, VBP
mentioned, VBD
mentioned, VBN
mentioning, NN
mentioning, VBG
mentions, NNS
merchant, JJ
merchant, NN
merchant, VB
merchantmen, NNS
merchants, NNS
merciful, JJ
merciless, NN
mercy, NN
mercy, VBN
mere, JJ
mere, VB
merest, JJS
merged, VBD
merged, VBN
merging, VBG
meridian, JJ
meridian, NN
meridians, NNS
meridians, VBZ
merit, NN
merit, VB
merits, NNS
mermaid, NN
mermaids, NNS
merman, NN
merrier, NN
merry, JJ
merry, NN
mesopotamian, JJ
mess, NN
message, NN
messmates, NNS
met, VBD
met, VBN
metal, NN
metaphysical, JJ
metempsychosis, NN
methinks, NNS
methinks, VBZ
method, NN
methodic, JJ
methodical, JJ
methodization, NN
methods, NNS
methought, VBD
metres, NNS
metropolis, NN
metropolitan, JJ
miasmas, NN
microscopic, JJ
microscopic, NN
mid, JJ
mid, VBZ
midday, NN
middle, JJ
middle, NN
middling, VBG
midmost, NN
midnight, NN
midship, NN
midships, NN
midst, NN
midsummer, NN
midway, NN
midwinter, NN
mightest, JJS
mightier, JJR
mightier, NN
mightiest, JJS
mightiest, NN
mighty, JJ
mighty, NN
mighty, NNS
mighty, VB
mighty, VBZ
migrating, VBG
migrations, NNS
migratory, NN
mild, JJ
mild, NN
mild, VBP
mildewed, VBN
mildness, NN
mile, JJ
mile, NN
miles, NNS
milestones, NNS
militant, JJ
military, JJ
militia, JJ
milk, NN
milkiness, NN
milky, JJ
milky, NN
miller, NN
milliner, NN
milling, NN
millions, NNS
millionth, JJ
mills, NNS
mimicking, VBG
mince, VB
minced, NN
mincer, NN
mincing, VBG
mind, NN
mind, VB
mind, VBP
minded, VBN
minds, NNS
minds, VBZ
mine, JJ
mine, NN
mine, VB
miner, NN
mingled, JJ
mingled, VBN
mingling, VBG
miniature, NN
miniatures, NNS
minister, NN
ministry, NN
minor, JJ
mint, NN
mints, NNS
minus, VBZ
minute, JJ
minute, NN
minute, VB
minutes, NNS
minutest, JJS
miracle, NN
miraculous, JJ
mirror, NN
mirror, VBP
mirrors, NNS
mirth, NN
misanthrope, NN
misanthropic, NN
misbehaviour, NN
miscellaneous, JJ
mischief, NN
mischievous, JJ
miscreants, NNS
misdoubt, VBP
miser, NN
miserable, JJ
miseries, NNS
miserly, JJ
misery, NN
misfortune, NN
misfortunes, NNS
misgiving, NN
misgivings, NNS
misgrown, JJ
mishap, NN
mishaps, NNS
mislead, VBP
misnamed, VBD
miss, VBD
missed, VBN
missent, NN
missing, VBG
mission, NN
missionaries, NNS
missionary, JJ
missionary, NN
mississippies, NNS
missive, NN
mist, NN
mistake, NN
mistake, VBP
mistaken, JJ
mistaken, VBN
mistakes, NNS
mistaking, NN
mistaking, VBG
mistifying, VBG
mistiness, NN
mistress, NN
mistrust, VBP
mists, NNS
misty, JJ
misty, NN
mite, NN
mittened, JJ
mixed, JJ
mixed, VBD
mixes, NNS
mixing, VBG
mizen, NN
mizentop, NN
mizzen, NN
moaning, NN
mob, NN
mob, VBP
mobbed, VBN
mobbing, VBG
moccasin, NN
moccasined, JJ
mock, NN
mocked, VBD
mockery, NN
mocking, JJ
mocking, NN
mocks, VBZ
mode, NN
model, NN
modelled, VBN
moderate, JJ
moderation, NN
modern, JJ
moderns, NNS
modes, NNS
modifications, NNS
modified, JJ
modified, VBN
modifies, NNS
moidores, NNS
moisture, NN
molasses, NNS
mole, NN
moles, NNS
molest, VBP
molesting, VBG
molifier, NN
molten, JJ
moment, NN
momentary, JJ
momentous, JJ
moments, NNS
momentum, NN
monarch, NN
monarchs, NN
money, NN
mong, JJ
mongrel, NN
monied, JJ
monitions, NNS
monkey, JJ
monkey, NN
monks, NNS
monomania, NN
monomaniac, JJ
monomaniac, NN
monongahela, NN
monopolising, NN
monopolising, VBG
monotonous, JJ
monster, NN
monsters, NNS
monstrous, JJ
monstrousest, JJS
month, NN
months, NNS
monument, NN
monumental, JJ
monuments, NNS
mood, NN
moodiness, NN
moods, NNS
moody, NN
moon, NN
moonlight, JJ
moonlight, NN
moonlit, NN
moons, NNS
moor, VB
moored, JJ
moored, VBD
moored, VBN
moorish, JJ
moors, NNS
moose, NN
moot, NN
mooted, VBN
mop, NN
moral, JJ
morass, NN
morbid, NN
morbidness, NN
more, JJR
morn, NN
morning, NN
morning, VBG
mornings, NNS
morrow, NN
morsel, NN
mortal, JJ
mortal, NN
mortalities, NNS
mortality, NN
mortals, NNS
mortar, NN
moses, NNS
moss, NN
mosses, NNS
mossy, JJ
most, JJS
most, VB
most, VBN
moth, NN
mother, NN
mothered, VBD
mothers, NNS
motion, NN
motioned, VBD
motioned, VBN
motioning, VBG
motionless, JJ
motionless, NN
motions, NNS
motive, NN
motives, NNS
motley, NN
mottled, VBD
mottled, VBN
motto, NN
mould, NN
moulded, VBD
moulder, VB
mouldings, NNS
mouldy, JJ
mount, NN
mount, VB
mount, VBP
mountain, NN
mountaineers, NNS
mountainous, JJ
mountains, NNS
mounted, VBD
mounted, VBN
mounting, NN
mounting, VBG
mounts, NNS
mounts, VBZ
mournful, JJ
mourning, NN
mouse, NN
moustache, NN
mout, NN
mouth, NN
mouth, VB
mouthful, NN
mouthfuls, NNS
mouths, NNS
mouts, NNS
movable, JJ
move, NN
move, VB
moved, VBD
moved, VBN
movement, NN
movements, NNS
moves, VBZ
moving, VBG
mow, VB
mower, JJR
mower, NN
mowers, NNS
much, JJ
mud, NN
muffle, VB
muffled, JJ
muffled, VBD
muffled, VBN
muffledness, NN
muffling, VBG
mug, NN
mugs, NNS
mulberries, NNS
mule, NN
multiplicity, NN
multiplied, JJ
multiplied, VBD
multiply, VBP
multitude, NN
multitudes, NNS
multitudinous, JJ
mumbled, VBD
mumbling, JJ
mumbling, VBG
mumblings, NNS
mummeries, NNS
mummies, NNS
mundane, JJ
mundane, NN
murder, NN
murder, VB
murder, VBP
murdered, JJ
murdered, VBD
murdered, VBN
murderer, NN
murderers, NNS
murdering, NN
murdering, VBG
murderous, JJ
murky, JJ
murmur, NN
murmured, JJ
murmured, VBD
murmuring, VBG
muscle, NN
muscles, NNS
muscular, JJ
museum, NN
music, NN
musical, JJ
musk, NN
musk, NNS
musked, JJ
musket, NN
muskets, NNS
muskiness, NN
musky, JJ
musky, NN
muster, VB
mustered, VBN
mustering, VBG
mustn, VBP
musty, NN
mutations, NNS
mute, JJ
mute, NN
muteness, NN
muteness, VB
mutes, NNS
mutilated, VBD
mutineer, NN
mutineers, NNS
mutinous, JJ
mutiny, JJ
mutiny, NN
mutinying, VBG
mutter, NN
mutter, VB
muttered, VBD
muttering, VBG
mutters, NNS
mutters, VBZ
mutual, JJ
muzzle, NN
myrrh, NN
myself, NN
myself, VB
mysteries, NNS
mysteries, VBZ
mysterious, JJ
mystery, NN
mystic, JJ
mystical, JJ
mystifications, NNS
mystifying, JJ
mythologies, NNS
n, JJ
nail, JJ
nail, NN
nail, VBP
nailed, JJ
nailed, VBD
nailed, VBN
nailest, JJS
nailing, VBG
nails, NNS
naked, JJ
nakedness, NN
name, NN
name, VB
name, VBP
named, VBN
nameless, JJ
nameless, NN
names, NNS
nantucket, NN
nantucketer, NN
nantucketers, NNS
nap, NN
nape, NN
napkin, NN
napkins, NNS
napping, VBG
nappishness, JJ
narrated, VBD
narrated, VBN
narrates, VBZ
narrating, VBG
narration, NN
narrations, NNS
narrative, JJ
narrative, NN
narrow, JJ
narrower, JJR
narrowly, VBP
narwhale, NN
narwhales, NNS
nasty, JJ
nate, NN
nation, NN
nations, NNS
native, JJ
native, NN
natives, NNS
natur, JJ
natur, NN
natural, JJ
naturalist, NN
naturalists, NNS
naturalists, VBZ
nature, JJ
nature, NN
natures, NNS
naught, JJ
naught, NN
naught, VBD
naught, VBN
nautical, JJ
nautilus, JJ
naval, JJ
navel, NN
navies, NNS
navigation, NN
navigator, NN
navy, NN
nay, JJ
nay, NN
nay, NNS
ne, JJ
ne, VB
near, JJ
neared, VBD
neared, VBN
nearer, JJ
nearer, JJR
nearer, NN
nearer, VBN
nearest, JJS
nearing, JJ
nearing, VBG
neat, JJ
neat, NN
neatness, NN
necessaries, NNS
necessary, JJ
necessitated, VBN
necessitates, VBZ
necessities, NNS
necessity, NN
neck, NN
necklace, NN
necks, NNS
need, NN
need, VB
need, VBN
need, VBP
needed, VBD
needed, VBN
needful, JJ
needing, VBG
needle, JJ
needle, NN
needles, NNS
needs, NNS
needs, VB
needs, VBZ
negations, NNS
negative, JJ
negatived, VBN
neglect, JJ
neglected, VBN
negro, JJ
negro, NN
negroes, NNS
neighbor, NN
neighborhood, NN
neighboring, JJ
neighboring, VBG
neighbors, NNS
neighbour, JJ
nephew, NN
nerve, NN
nervous, JJ
nervousness, NN
nest, JJS
nest, NN
nestle, VBP
nestling, VBG
net, JJ
net, NN
nets, NNS
netted, VBN
neutral, JJ
new, JJ
newlanded, VBD
news, NN
newspaper, NN
next, JJ
nibbling, NN
nice, JJ
nieces, NNS
nigh, JJ
nigh, VBP
night, NN
nightfall, JJ
nightfall, NN
nightmare, NN
nights, NNS
nimble, JJ
nineteenth, JJ
nineteenth, NN
ninetieth, JJ
ninety, JJ
ninety, NN
nipper, NN
noble, JJ
noblemen, NNS
nobler, JJ
nobler, JJR
noblest, JJS
nobody, NN
nod, NN
nodded, VBD
nods, NNS
noise, NN
noiseless, JJ
noiseless, NN
noiselessness, NN
noises, NNS
noisy, JJ
noisy, NN
nomenclature, NN
nominal, JJ
nomine, JJ
non, NN
nonce, NN
nondescript, JJ
nondescripts, NNS
none, JJ
none, NN
nonplussed, VBN
nonsense, JJ
nonsense, NN
nooks, NNS
noon, JJ
noon, NN
noon, VB
nooses, NNS
normal, JJ
north, NN
northern, JJ
northward, NN
northwards, NNS
northwest, NN
norwegian, JJ
nose, JJ
nose, NN
nose, VBD
nosegay, NN
nosegays, NNS
noses, NNS
nostril, NN
nostrils, NNS
notabilities, NNS
notched, JJ
notches, NNS
note, NN
note, VBP
noted, VBD
noted, VBN
notes, NNS
noteworthy, JJ
nothing, NN
nothing, VBG
nothingness, NN
notice, JJ
notice, NN
notice, VB
noticed, JJ
noticed, VBD
noticed, VBN
noticing, VBG
notified, VBN
noting, VBG
notion, NN
notions, NNS
notoriety, NN
notorious, JJ
notwithstanding, NN
notwithstanding, VBG
nourished, JJ
nourished, VBD
nourishing, NN
nourishment, NN
nowadays, JJ
nowadays, NNS
nowadays, VB
nowadays, VBP
nowise, NN
nt, NN
numbed, JJ
number, NN
numbered, VBN
numberless, JJ
numbers, NNS
numbness, JJ
numerous, JJ
nuptial, JJ
nurse, NN
nurse, VB
nurse, VBZ
nurseries, NNS
nursery, JJ
nursery, NN
nursing, NN
nurtured, JJ
nurtured, VBN
nutmeg, NN
nuts, NNS
o, JJ
o, NN
o, NNS
o, VBP
oak, NN
oaken, JJ
oaken, NN
oaks, NNS
oakum, JJ
oakum, NN
oar, NN
oar, VBZ
oars, NNS
oarsman, JJ
oarsman, NN
oarsmen, NNS
oasis, NN
oath, NN
oaths, JJ
oaths, NNS
oats, NNS
ob, NN
obedience, NN
obedient, NN
obey, JJ
obey, NN
obey, VB
obey, VBP
obeyed, VBD
obeyest, JJS
obeying, VBG
obeys, NNS
obituary, NN
object, JJ
object, NN
object, VB
object, VBP
objected, VBN
objection, NN
objectionable, JJ
objections, NNS
objects, NNS
obligations, NNS
oblige, VB
obliged, VBD
obliged, VBN
oblique, JJ
oblique, NN
obliquity, NN
obliterated, VBN
oblivious, JJ
oblong, JJ
oblong, NN
oblongs, NNS
obscure, JJ
obscured, VBD
obscured, VBN
obscures, VBZ
obscuring, VBG
obscurity, NN
obsequious, JJ
observable, JJ
observance, NN
observant, JJ
observation, NN
observations, NNS
observe, NN
observe, VB
observe, VBP
observed, JJ
observed, VBD
observed, VBN
observers, NNS
observest, VBP
observing, NN
observing, VBG
obsolete, JJ
obstacle, NN
obstetrics, NNS
obstinacy, NN
obstinate, JJ
obstinate, NN
obstructed, VBD
obtain, VB
obtained, VBD
obtained, VBN
obtains, VBZ
obtruding, VBG
obvious, JJ
occasion, NN
occasion, VB
occasional, JJ
occasioned, VBN
occasions, NNS
occult, JJ
occupant, NN
occupants, NNS
occupation, NN
occupied, JJ
occupied, VBD
occupied, VBN
occupies, VBZ
occupying, VBG
occur, JJ
occur, VB
occur, VBP
occurred, VBD
occurred, VBN
occurrence, NN
occurs, NNS
ocean, JJ
ocean, NN
oceans, NNS
octavo, NN
odd, JJ
odd, NN
oddish, JJ
odds, NNS
oder, NN
oders, NNS
odious, JJ
odor, NN
odor, VBZ
odoriferous, JJ
odorless, JJ
odorous, JJ
off, NN
offence, NN
offensive, JJ
offer, NN
offer, VB
offer, VBP
offered, VBD
offered, VBN
offering, VBG
offers, VBZ
office, NN
officer, NN
officered, JJ
officers, NNS
offices, NNS
official, JJ
official, NN
officiating, VBG
officio, JJ
offing, NN
offspring, VBG
oft, JJ
oftener, JJR
oftenest, VB
oftentimes, NNS
oftentimes, VB
oh, JJ
oh, NN
oil, NN
oiled, VBN
oilpainting, VBG
oils, NNS
oily, JJ
ointment, NN
old, JJ
olden, JJ
older, JJR
oldest, JJS
olfactories, NNS
olive, JJ
olive, VB
omen, NN
omen, NNS
omens, NNS
ominous, JJ
omit, VB
omit, VBP
omitted, VBD
omitted, VBN
omnipotent, JJ
omnipotent, NN
omnipresence, NN
omniscient, JJ
omnitooled, VBN
omnivorous, JJ
once, NN
one, NN
oneness, NN
ones, NNS
only, JJ
onset, NN
onsets, NNS
onward, JJ
oozed, VBN
oozy, JJ
oozy, NN
opal, NN
open, JJ
open, VB
open, VBP
opened, JJ
opened, VBD
opened, VBN
opening, NN
opening, VBG
openmouthed, VBD
opens, VBZ
operas, NNS
operate, VB
operated, VBD
operated, VBN
operates, VBZ
operating, NN
operation, NN
operations, NNS
operator, NN
opine, VBP
opined, VBN
opinion, NN
opinions, NNS
opportunities, NNS
opportunity, NN
oppose, VB
opposed, VBN
opposing, JJ
opposing, VBG
opposite, JJ
opposite, NN
opposite, VB
opposition, NN
opulence, NN
opulent, JJ
opulent, NN
orange, NN
orator, NN
orbits, VBZ
orbs, NN
orchard, NN
orchestra, NN
ordained, VBD
ordained, VBN
order, NN
ordered, VBD
ordered, VBN
ordering, NN
orders, NNS
ordinary, JJ
organ, JJ
organ, NN
organizations, NNS
organized, VBN
organs, NNS
orgies, NNS
oriental, JJ
orientals, NNS
origin, NN
original, JJ
originate, NN
originated, VBN
orisons, NNS
ork, NN
orlop, NN
ornament, NN
ornamental, JJ
ornamented, JJ
ornamented, VBN
ornaments, NNS
orphan, NN
orphans, NNS
orthodox, JJ
orthodoxy, NN
oscillates, VBZ
osseous, JJ
ostensible, JJ
ostentatious, JJ
ostrich, NN
other, JJ
others, NNS
otherwise, NN
otherwise, VB
ottomans, NNS
oughts, NNS
ounce, NN
ours, NNS
ourselves, NNS
ourselves, VBP
oust, JJ
outbellying, NN
outblown, JJ
outbranching, VBG
outburst, NN
outcries, NNS
outdone, VBN
outer, JJ
outer, NN
outermost, NN
outfits, NNS
outlandish, JJ
outlandishness, NN
outlast, VBP
outlaws, NN
outlet, NN
outlets, NNS
outline, JJ
outline, NN
outlines, NNS
outnumber, VBP
outrage, NN
outraged, VBD
outrageous, JJ
outran, JJ
outreaching, VBG
outriders, NNS
outright, NN
outright, VBP
outs, VBZ
outset, NN
outside, JJ
outside, NN
outskirts, NNS
outspread, VBP
outstretched, JJ
outstretched, VB
outstretching, VBG
outstrip, VB
outward, JJ
outward, NN
outwards, NNS
outweigh, VB
outworks, NNS
outyell, VB
oval, JJ
over, VB
overawed, VBN
overawing, VBG
overbalance, VB
overbearing, NN
overbearing, VBG
overboard, NN
overburdening, VBG
overclouded, JJ
overcome, JJ
overdoing, VBG
overflowed, VBN
overflowing, VBG
overgrowing, VBG
overgrowth, NN
overhanging, VBG
overhead, JJ
overhead, NN
overhearing, VBG
overhung, NN
overladen, JJ
overlap, VBP
overlapping, VBG
overlays, VBZ
overleap, VB
overlook, VB
overlooked, VBD
overlooked, VBN
overlooking, VBG
overlording, VBG
overmanned, VBN
overmuch, JJ
overpowered, VBD
overruling, VBG
overrun, NN
oversailed, VBN
overscorning, VBG
oversee, VB
overseeing, VBG
overshoes, NNS
oversight, NN
overspread, NN
overspreading, VBG
overstrained, JJ
overswarm, NN
overtake, VB
overtaken, VBN
overtakes, VBZ
overtaking, VBG
overture, NN
overwhelmed, VBD
overwhelmed, VBN
overwhelming, JJ
overwrapped, VBD
owe, VBP
owest, JJS
owing, VBG
own, JJ
own, VB
own, VBP
owned, VB
owned, VBD
owned, VBN
owner, NN
owners, NNS
owning, VBG
owns, VBZ
ox, NN
oxen, NN
oxen, VBZ
oxygenated, JJ
oysters, NNS
pace, NN
paced, VBD
paces, NNS
pacing, NN
pacing, VBG
pack, NN
pack, VBP
packed, NNS
packed, VBD
packed, VBN
packet, NN
packs, NNS
pactolus, JJ
padded, VBN
paddle, JJ
paddle, VB
paddled, VBD
paddles, NNS
paddling, VBG
padlock, NN
padlocks, NNS
pads, NNS
paean, NN
pagan, JJ
pagan, NN
pagans, NNS
pagans, VBZ
page, NN
page, VB
pageant, JJ
pages, NNS
pagoda, NN
paid, JJ
paid, VBD
paid, VBN
pail, NN
pain, NN
paine, NN
